,,Priority,Category,Name,Link,Price,,Notes
,13,1,Fitness,Naked Whey Protein Powder,https://www.amazon.com/NAKED-WHEY-1LB-Ingredient-Undenatured/dp/B071ZDDNBY/ref=sr_1_6_pp?crid=1SLCDJRE0QNRC&dib=eyJ2IjoiMSJ9.5VHUX76DFMqcbS6A-vNpJUMPPtRi56aiiOz2kG1JbaAoOTHYQavL8hqKjiJhuo-pJQcmrxOjkJQ_2OVhV4tFovTTH8eKUZzYGv2ILF8U7ppEjeatdp1u1GZ1joBz83BmIpPSYL9Kj7viHw2jEcPJJNTqlu7wxfAUrWeKKjCYZrog_Y-lvVx-uCvyfYELtvj7BafqKoh8vg4HitaRlgdWRsj1YYD7x5qMSgH97h9QSVMc6iauubCzgIIarJAXGATiTXUo9ji1kF11MgG4mXtN4iDBv5fSvb9atIApGnHFHDA.cj8q9mMT7Nv2HTFriIlT_HwiDovCVxJrcZPafBlhBis&dib_tag=se&keywords=protein+powder&qid=1722046482&sprefix=protein+powder+%2Caps%2C135&sr=8-6,$25.00,Want,
,13,1,fitness,Workout gloves,https://www.amazon.com/VINSGUIR-Breathable-Exercise-Training-Excellent/dp/B0BPCXR444/ref=sr_1_9?dib=eyJ2IjoiMSJ9.62ynbSOvHvJHBBXmQmHuiey_V15e9NprlwDqUZgU0hdsjzKWn9KyGwIZzFnEyAqu2gcczFTOVbH7gaTANakO1-58QE5HPpBCxEaS0IFiarnjiqrzcl4CiJ-9ojxIZ98MwYyOEAFPSAtq8-UK2WlFBO0U8WoAnlYy_TUM-R3NnFkKrIh206lmIX-1IciVcAIroz4o_YATbbpLgmuHwcDOsmTR8FohNFIKgsHb-IY_l1TD0AvAgE1ti7mUWamc6mepACZpKQpJILI20aFwnLU40n-wqy3OdKkrhSSl8h3Rba0.k4wSYYtzsBjyU5v_w3_HU0ciExqzhdJg0rRguW2q_rQ&dib_tag=se&keywords=workout%2Bgloves&qid=1722227009&sr=8-9&th=1,$10.00,,
,13,1,Fitness,Push up Bar,https://www.amazon.com/Teclor-Parallettes-Heavy-Duty-Handstands-Calisthenics/dp/B0BGHX4KBH,$39.99,,
,13,1,fitness,dip bar,https://www.amazon.com/RELIFE-REBUILD-YOUR-LIFE-Functional/dp/B07DHD3CSY/ref=sr_1_4?crid=1YV4O3THCDY4B&dib=eyJ2IjoiMSJ9.xpe7iShUXB9UEyRcB7cc0khVFq6JdsH7xywitbzL2KOqWb4cIlXg4WHwrcCyVwX4nAFbMAtfXXuSIm3eCTvDczGLEIg_gU7PBPsV_17NTyoO4-2av0l6S6aDJB3HMw0lxC60P8zOrINxXrrOGIB9KhemN_JHlPJU_2VkfHjJFL5LREfnfGxPRGIdaUb61xux3DH8aVN5QUw3Ik2dKjBvaKhQei4JiL6E4qeuSojC7XjSAtid4RTU1h0mu-KJ6dgHyum4hzOlwPn1oRIDptcf1P6qiOEoP-PDigLtQNGtL-s.XEQczkcBC61I3Rjypv19BzjW9OSzRW99T6uXIQYrlig&dib_tag=se&keywords=dip+bar&qid=1722397799&s=sporting-goods&sprefix=dip+bar%2Csporting%2C90&sr=1-4,$57.99,,
,13,1,Fitness,Lifting Belt,https://pioneerfit.com/products/double-suede-lever-weightlifting-belt,$114.00,,
,13,1,Fitness,CAP Barbell Olympic Trap Bar | Multiple Grip Options,https://www.amazon.com/CAP-Barbell-Olympic-Shrug-Deadlift/dp/B0BFYMMWM7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vW66Dmv9m4sJe-DmFqwyjLb-Izdvf5KpCbeJYtNso6DEeARQluPIgScdN_rq1PUKFa1MM4WN1E5eo80ZaSLvtzJOGJ4FKhIzqYrPLDz6yAMf9jpFrG6IZ8W5Bl9iDPo1PdsOMHexavSeD9Z_DuVMljZGwMg42uKNrSp_ffqb6L-IZdzuBtLcDgL0NrN78e5Xd96fS1iluFSNsQRzVe8D6PJnsGV8TJc5IHJaUC6rXou2ETwpgP_ldZ22LR-DyfdtW3sJdMYMsndFoKAyyYgA02UDqMRHPv91C8yQASMQGW0.1lKuJpfPYxfLL9puJkDw2WUF7z6QfVB2gYB5W4IGnQY&dib_tag=se&keywords=trap%2Bbar&qid=1729472074&sr=8-5&th=1,$79.00,,
,13,1,Fitness,Ankle Straps for Cable Machine,https://www.amazon.com/dp/B0CKLWNJ29?_encoding=UTF8&th=1,$19.00,,
,14,1,Food,cotton candy sprinkles,https://www.amazon.com/Yupik-Sprinkles-Cotton-Candy-2-2/dp/B07QZF5PTT/ref=sr_1_5?crid=12EHKLHDFMNCS&keywords=cotton+candy+sprinkles&qid=1689980215&sprefix=%2Caps%2C166&sr=8-5,$5.91,Want,
,14,1,Food,PB sauce,https://www.amazon.com/gp/product/B00I3303L2/ref=ewc_pr_img_1?smid=ATVPDKIKX0DER&th=1,$19.70,Want,
,14,1,Food,Vital wheat gluten,https://www.amazon.com/Bobs-Red-Mill-Vital-Gluten/dp/B083KBZ5DW/ref=sr_1_6?crid=3AMCP0MSP7E5T&dib=eyJ2IjoiMSJ9.UX9ELEkKXPmdXeeN6sD8e14W45MS6aRRb-SOQYsuDlc46fQNhC8MW5TYiSOoymQ6CwsocpClmCkvjMMScAMPz6dLivdAIx34iCY-KAs_Jl9pmaqS4WVuHktYMeK0M2jpWkBGQiJ8gwk0Xo24eob70ASRWO3t9a15g_qMIHQG3TJ7LOVGpbA6mCK1L0qxeT0hwoCFaSuNXY3wMIKi03NONgJhKSD7fIcXQaaZLE-CDNzW5mSbXnuNzDjJCTg_8s86KitvHCtwnJ-DzH_ZelNY7ISHvqQl0gpQ3dsXKxSC9ec.-Z1xsSG1tZ1jDcy33GWKJWGeknusohsLvXOR-uJR7Mc&dib_tag=se&keywords=vital+wheat+gluten&qid=1721258856&sprefix=vital+whe%2Caps%2C148&sr=8-6,$9.49,Want for recipes,
